sentence_id,text,term,category,polarity
1008:0,Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,['kurufasülyeci'],['FOOD#QUALITY'],['positive']
1008:1,Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.,['kurufasülyeci'],['FOOD#QUALITY'],['positive']
1008:2,"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",['Fasulyesi'],['FOOD#QUALITY'],['positive']
1008:3,Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,['bekletiyorlarmış'],['FOOD#STYLE_OPTIONS'],['neutral']
1008:4,"Yanında turşu, cacık veya yoğurtla harika oluyor.","['turşu, cacık veya yoğurtla']",['FOOD#STYLE_OPTIONS'],['positive']
1008:5,"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.","['Pilavı', 'kokuyor']","['FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'positive']"
1008:6,Finali sütlaçla yapmanızı tavsiye ediyorum.,['sütlaçla'],['FOOD#QUALITY'],['positive']
1008:7,Sütlacı da enfes.,['Sütlacı'],['FOOD#QUALITY'],['positive']
1009:0,"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.","['lezzet', 'sıra']","['FOOD#QUALITY', 'SERVICE#GENERAL']","['positive', 'neutral']"
1009:1,Atıştırmalık Jumbo Combo pek yummy!,['Atıştırmalık Jumbo Combo'],['FOOD#QUALITY'],['positive']
1010:0,Deniz ürünleri çok başarılı.,['Deniz ürünleri'],['FOOD#QUALITY'],['positive']
1010:1,Manzarası zaten mükemmel.,['Manzarası'],['AMBIENCE#GENERAL'],['positive']
1010:2,"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",['hissediyorsun'],['AMBIENCE#GENERAL'],['positive']
1010:3,Onun dışında pek öğrenci mekanı değil.,['öğrenci mekanı'],['AMBIENCE#GENERAL'],['neutral']
1010:4,"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",['yer'],['AMBIENCE#GENERAL'],['neutral']
1011:0,"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",['sohbet edebilmek'],['AMBIENCE#GENERAL'],['positive']
1011:1,"Çalan müzik tam kıvamında, rahatsız etmiyor.",['Çalan müzik'],['AMBIENCE#GENERAL'],['positive']
1011:2,"Yemekleri çok lezzetli, manzara mükemmel.","['manzara', 'Yemekleri']","['AMBIENCE#GENERAL', 'FOOD#QUALITY']","['positive', 'positive']"
1011:3,"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",['hesap'],['FOOD#PRICES'],['negative']
1012:0,Kalabalik zamanlarda servis fazlasiyla aksiyor.,['servis'],['SERVICE#GENERAL'],['negative']
1012:1,"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",['siparis'],['SERVICE#GENERAL'],['negative']
1012:2,Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,['masalarin'],['AMBIENCE#GENERAL'],['negative']
1013:0,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.","['ortamında', 'yemekler', 'çilekli magnoliasından']","['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'positive', 'positive']"
1013:1,İçinizi serinletecek enfes bir tat.,['tat'],['FOOD#QUALITY'],['positive']
1014:0,Garsonlar suratsiz.,['Garsonlar'],['SERVICE#GENERAL'],['negative']
1014:1,Bu kadar methedilmeyi hakketmiyor.,['NULL'],['RESTAURANT#GENERAL'],['negative']
1014:2,Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,"['Kasarli köftenin', 'yer']","['FOOD#STYLE_OPTIONS', 'RESTAURANT#GENERAL']","['negative', 'negative']"
1014:3,Açiklama:,"['Kasarli köftenin', 'yer']","['FOOD#STYLE_OPTIONS', 'RESTAURANT#GENERAL']","['negative', 'negative']"
1014:4,kasarla köfte yoguruluyormus.,"['Kasarli köftenin', 'yer']","['FOOD#STYLE_OPTIONS', 'RESTAURANT#GENERAL']","['negative', 'negative']"
1014:5,Isletme sahibi kaba.,['Isletme sahibi'],['SERVICE#GENERAL'],['negative']
1014:6,Bizim kasarli köfte tanimimiz böyle diyor sadece!,['kasarli köfte'],['FOOD#STYLE_OPTIONS'],['negative']
1014:7,Müsteri memnuniyeti sifir!,['Müsteri memnuniyeti'],['RESTAURANT#GENERAL'],['negative']
1015:0,"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",['pide'],['FOOD#QUALITY'],['positive']
1015:1,O zaman keşke başlangıçlarda menüde yer almasa!,['menüde'],['FOOD#STYLE_OPTIONS'],['negative']
1015:10,"Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.","['Malzemesi', 'porsiyonu']","['FOOD#STYLE_OPTIONS', 'FOOD#STYLE_OPTIONS']","['positive', 'positive']"
1015:2,Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,"['fiyatları', 'ulaşımı']","['RESTAURANT#GENERAL', 'LOCATION#GENERAL']","['positive', 'positive']"
1015:3,İlk defa bir şubesine gidip oturup yemek yedim.,"['fiyatları', 'ulaşımı']","['RESTAURANT#GENERAL', 'LOCATION#GENERAL']","['positive', 'positive']"
1015:4,"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",['pide'],['FOOD#STYLE_OPTIONS'],['positive']
1015:5,Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,['pideyi'],['FOOD#STYLE_OPTIONS'],['negative']
1015:6,Evet suçluyum!,['pideyi'],['FOOD#STYLE_OPTIONS'],['negative']
1015:7,Tek ayak üstünde köşeme çekiliyorum!,['pideyi'],['FOOD#STYLE_OPTIONS'],['negative']
1015:8,Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,['tadı'],['FOOD#QUALITY'],['positive']
1015:9,"Malzemesi bol, porsiyonu tam kıvamındaydı.","['Malzemesi', 'porsiyonu']","['FOOD#STYLE_OPTIONS', 'FOOD#STYLE_OPTIONS']","['positive', 'positive']"
1016:0,Beşiktaş'ın göbeğinde.,['Beşiktaş'ın göbeğinde'],['LOCATION#GENERAL'],['positive']
1016:1,"Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri.",['Beşiktaş'ın göbeğinde'],['LOCATION#GENERAL'],['positive']
1016:2,Ve deneyim maalesef çok da olumlu olmadı.,['deneyim'],['RESTAURANT#GENERAL'],['negative']
1016:3,"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.","['Pide lezzeti', 'siparişleri']","['FOOD#QUALITY', 'SERVICE#GENERAL']","['positive', 'negative']"
1016:4,"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.","['ortası', 'kenarlarını']","['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['positive', 'negative']"
1016:5,"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",['gelecek'],['SERVICE#GENERAL'],['negative']
1016:6,"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.","['Yemek', 'bütçeyi']","['FOOD#QUALITY', 'RESTAURANT#PRICES']","['negative', 'positive']"
1017:0,Servis:,"['Yemek', 'bütçeyi']","['FOOD#QUALITY', 'RESTAURANT#PRICES']","['negative', 'positive']"
1017:1,4 Fiyat:,"['Yemek', 'bütçeyi']","['FOOD#QUALITY', 'RESTAURANT#PRICES']","['negative', 'positive']"
1017:2,5 Mekan:,"['Yemek', 'bütçeyi']","['FOOD#QUALITY', 'RESTAURANT#PRICES']","['negative', 'positive']"
1017:3,8 Lezzet:,"['Yemek', 'bütçeyi']","['FOOD#QUALITY', 'RESTAURANT#PRICES']","['negative', 'positive']"
1017:4,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.","['kahvalti', 'fiyat', 'servis']","['FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL']","['positive', 'negative', 'negative']"
1018:0,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,"['yemekleri', 'ikram', 'manzarası']","['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive']"
1018:1,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,"['yerlerden', 'istakoz kavurma', 'ızgara mantar']","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'positive', 'positive']"
1019:0,Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,['mezelerde'],['FOOD#QUALITY'],['positive']
1019:1,"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.","['kagitta balik pastirma', 'kuskonmaz somon sarma']","['FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'positive']"
1020:0,Burada caylar harika!,['caylar'],['DRINKS#QUALITY'],['positive']
1020:1,Bourbon Vanilla 34 numarali cay.,['caylar'],['DRINKS#QUALITY'],['positive']
1020:2,Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,['lezzet'],['FOOD#QUALITY'],['positive']
1020:3,Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,"['manzara', 'Ortam']","['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['negative', 'positive']"
1020:4,Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,['cay'],['DRINKS#STYLE_OPTIONS'],['positive']
1021:0,"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",['mekan'],['RESTAURANT#GENERAL'],['positive']
1021:1,"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",['köprünün ve hisarın ışıkları'],['AMBIENCE#GENERAL'],['positive']
1021:2,Hemde canlı müzikle :,['canlı müzikle'],['AMBIENCE#GENERAL'],['positive']
1022:0,Daha iyisi var.,['NULL'],['RESTAURANT#GENERAL'],['negative']
1022:1,Buranin doneri dedikleri kadar efsane degil.,['doneri'],['FOOD#QUALITY'],['negative']
1022:2,"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.","['Eti', 'Eti']","['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['negative', 'negative']"
1022:3,Ortami da begenmedim kalabalik 3. Sinif bir yer.,['Ortami'],['AMBIENCE#GENERAL'],['negative']
1022:4,Bir daha gitmem,['NULL'],['RESTAURANT#GENERAL'],['negative']
1023:0,"Eti lezzetli, mekan gösterişli.","['mekan', 'Eti']","['AMBIENCE#GENERAL', 'FOOD#QUALITY']","['positive', 'positive']"
1023:1,Ama sunum resmen sıfır.,['sunum'],['SERVICE#GENERAL'],['negative']
1023:2,30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,['tabağa'],['FOOD#STYLE_OPTIONS'],['negative']
1023:3,Havuç dilimi ise aşırı yağlı ve şerbetli.,['Havuç dilimi'],['FOOD#QUALITY'],['negative']
1023:4,Pek yaratıcı özel bir yanı yok.,['NULL'],['RESTAURANT#GENERAL'],['negative']
1024:0,Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,['servis'],['SERVICE#GENERAL'],['negative']
1024:1,"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",['NULL'],['SERVICE#GENERAL'],['negative']
1024:2,"Olmadı Big Chefs, zincirsin sen...",['Big Chefs'],['RESTAURANT#GENERAL'],['negative']
1025:0,Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.,['Big Chefs'],['RESTAURANT#GENERAL'],['negative']
1025:1,Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.,['Big Chefs'],['RESTAURANT#GENERAL'],['negative']
1025:2,Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,['tavuk WRAPimiz'],['FOOD#STYLE_OPTIONS'],['negative']
1025:3,Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,['kofte durum'],['SERVICE#GENERAL'],['negative']
1025:4,"Tavuklar kupkuruydu, kofte durum ise siradandi.","['kofte durum', 'Tavuklar']","['FOOD#QUALITY', 'FOOD#QUALITY']","['neutral', 'negative']"
1025:5,Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,['tatla'],['FOOD#QUALITY'],['negative']
1025:6,"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",['Zeytinyagli tabagi'],['FOOD#STYLE_OPTIONS'],['neutral']
1025:7,Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,"['koymak', 'Tadlari']","['FOOD#STYLE_OPTIONS', 'FOOD#QUALITY']","['negative', 'positive']"
1025:8,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.","['servis', 'Fiyatlar', 'tuvaletler']","['SERVICE#GENERAL', 'RESTAURANT#PRICES', 'AMBIENCE#GENERAL']","['negative', 'neutral', 'negative']"
1026:0,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .","['servis elemanlari', 'bayan', 'manzaraydi']","['SERVICE#GENERAL', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['negative', 'negative', 'positive']"
1026:1,"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.","['çesit', 'sunum']","['FOOD#STYLE_OPTIONS', 'FOOD#STYLE_OPTIONS']","['positive', 'negative']"
1027:0,Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,['mekan'],['RESTAURANT#GENERAL'],['positive']
1027:1,Gidilebilecek iyi yerlerden birisi.,['yerlerden'],['RESTAURANT#GENERAL'],['positive']
1027:2,Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,"['garsonlarin', 'servisin']","['SERVICE#GENERAL', 'SERVICE#GENERAL']","['negative', 'negative']"
1027:3,Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,['garson'],['SERVICE#GENERAL'],['negative']
1027:4,Diger Mado subeleri kadar genis bir menü seçenekleri yok.,['garson'],['SERVICE#GENERAL'],['negative']
1027:5,Klasik dondurma spesiyalleri ve tatlililari var.,['dondurma spesiyalleri ve tatlililari'],['FOOD#STYLE_OPTIONS'],['neutral']
1028:0,"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",['yerdi'],['RESTAURANT#GENERAL'],['negative']
1028:1,Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,['Garsonlar'],['SERVICE#GENERAL'],['negative']
1028:2,Internetteki resimlerinden göründügü kadar güzel degildi.,['göründügü'],['AMBIENCE#GENERAL'],['negative']
1029:0,Su böregi ile kahvalti yaptim bugün.,['göründügü'],['AMBIENCE#GENERAL'],['negative']
1029:1,Su böregi oldukça lezzetli idi.,['Su böregi'],['FOOD#QUALITY'],['positive']
1029:2,Çay kötü müydü?,['Çay'],['DRINKS#QUALITY'],['neutral']
1029:3,"Hayir, çok taze ve lezzetliydi.",['NULL'],['FOOD#QUALITY'],['positive']
1029:4,Beklentimin üstündeydi.,['NULL'],['RESTAURANT#GENERAL'],['positive']
1030:0,Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,"['NULL', 'manzarasi']","['RESTAURANT#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive']"
1030:1,Dügünler falan da yapilir.,"['NULL', 'manzarasi']","['RESTAURANT#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive']"
1030:2,Ama konaklamasi yok diye biliyorum.,"['NULL', 'manzarasi']","['RESTAURANT#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive']"
1030:3,Yazin daha zevkli oluyor manzaraya karsi oturmasi.,['manzaraya'],['AMBIENCE#GENERAL'],['positive']
1030:4,Marmara ögrencilerine de indirimli fiyat uygulamasi var.,['fiyat'],['RESTAURANT#PRICES'],['positive']
1030:5,O yüzden de bizim için avantajli oluyor.,['NULL'],['RESTAURANT#PRICES'],['positive']
1030:6,"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",['Gözleme'],['FOOD#STYLE_OPTIONS'],['positive']
1030:7,Kuaförü de çok ucuz ve iyi ayrica.,['Kuaförü'],['RESTAURANT#MISCELLANEOUS'],['positive']
1030:8,Daha ne olsun =),['NULL'],['RESTAURANT#GENERAL'],['positive']
1031:0,Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,"['manzara', 'mutfak']","['AMBIENCE#GENERAL', 'FOOD#QUALITY']","['positive', 'negative']"
1031:1,Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,"['fiyatlarla', 'deniz ürünlerini']","['FOOD#PRICES', 'FOOD#QUALITY']","['negative', 'negative']"
1031:2,Paranız çoksa deneyin ama şart da değil:,['NULL'],['RESTAURANT#GENERAL'],['neutral']
1032:0,Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,"['restoranda', 'Döner']","['AMBIENCE#GENERAL', 'FOOD#QUALITY']","['negative', 'positive']"
1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.","['Yeri', 'yemekleri', 'yemekleri', 'dösenmis', 'ortam']","['LOCATION#GENERAL', 'FOOD#STYLE_OPTIONS', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['negative', 'positive', 'positive', 'positive', 'positive']"
1033:1,Sira bekleme olayi ise çok kötü...,['Sira'],['SERVICE#GENERAL'],['negative']
1034:0,Aci sevmeyenlere uygun bir mekan degil.,['mekan'],['RESTAURANT#GENERAL'],['neutral']
1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.","['ortam', 'fajita', 'karisik köfte tabagi', 'Manzara']","['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'negative', 'negative', 'positive']"
1035:0,Sadece meze yiyin.,"['yiyin', 'meze']","['FOOD#QUALITY', 'FOOD#QUALITY']","['negative', 'positive']"
1035:1,Her hafta gelmeye çalışıyoruz.,['NULL'],['RESTAURANT#GENERAL'],['positive']
1035:2,"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",['soslarla'],['FOOD#STYLE_OPTIONS'],['positive']
1035:3,Rekorum 9 meze!,['soslarla'],['FOOD#STYLE_OPTIONS'],['positive']
1035:4,Balığın fast food gibi yenildiği yer.,['Balığın'],['FOOD#STYLE_OPTIONS'],['neutral']
1035:5,Yavaş yavaş balık keyfi yapmak isterseniz önermem.,['balık'],['FOOD#STYLE_OPTIONS'],['negative']
1035:6,Servisi çok hızlı.,['hızlı'],['SERVICE#GENERAL'],['positive']
1035:7,Mısır ekmeği de sıcacık bayılıyorum.,['Mısır ekmeği'],['FOOD#QUALITY'],['positive']
1036:0,"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :","['müzikler', 'ortam', 'Mizuno Pudding', 'çeşit', 'hesap']","['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY', 'DRINKS#STYLE_OPTIONS', 'DRINKS#PRICES']","['positive', 'positive', 'negative', 'positive', 'negative']"
1036:1,) Evet aynen böyle olmuştu Dem'de...,"['müzikler', 'ortam', 'Mizuno Pudding', 'çeşit', 'hesap']","['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY', 'DRINKS#STYLE_OPTIONS', 'DRINKS#PRICES']","['positive', 'positive', 'negative', 'positive', 'negative']"
